Gene	gene_length	Zero_proportion
ENSDARG00000000887	1392	0.14558472553699284
ENSDARG00000000906	1524	0.07159904534606205
ENSDARG00000000935	8207	0.02386634844868735
ENSDARG00000000943	3355	0.057279236276849645
ENSDARG00000000966	10270	0.01909307875894988
ENSDARG00000001014	9635	0.014319809069212411
ENSDARG00000001015	7660	0.014319809069212411
ENSDARG00000001057	1504	0.021479713603818614
ENSDARG00000001127	2608	0.2243436754176611
ENSDARG00000001129	9940	0.01909307875894988
ENSDARG00000001154	4519	0.2243436754176611
ENSDARG00000001162	5193	0.02386634844868735
ENSDARG00000001169	1724	0.07875894988066826
ENSDARG00000001210	949	0.03341288782816229
ENSDARG00000001220	15337	0.014319809069212411
ENSDARG00000001234	3149	0.10739856801909307
ENSDARG00000001241	2450	0.021479713603818614
ENSDARG00000001244	4499	0.014319809069212411
ENSDARG00000001249	1419	0.0405727923627685
ENSDARG00000001259	1090	0.16467780429594273
ENSDARG00000001303	1620	0.2863961813842482
ENSDARG00000001313	3360	0.045346062052505964
ENSDARG00000001354	2408	0.1288782816229117
ENSDARG00000001414	2828	0.11455847255369929
ENSDARG00000001431	6533	0.031026252983293555
ENSDARG00000001437	1792	0.3412887828162291
ENSDARG00000001442	4105	0.10739856801909307
ENSDARG00000001447	3766	0.01909307875894988
ENSDARG00000001452	3337	0.04295942720763723
ENSDARG00000001463	3152	0.07637231503579953
ENSDARG00000001470	2188	0.031026252983293555
ENSDARG00000001498	3252	0.03818615751789976
ENSDARG00000001549	2996	0.031026252983293555
ENSDARG00000001557	2990	0.028639618138424822
ENSDARG00000001558	2560	0.03818615751789976
ENSDARG00000001559	12563	0.10501193317422435
ENSDARG00000001572	1854	0.18138424821002386
ENSDARG00000001578	1421	0.02386634844868735
ENSDARG00000001621	4130	0.021479713603818614
ENSDARG00000001634	9034	0.014319809069212411
ENSDARG00000001656	1486	0.34844868735083534
ENSDARG00000001676	2380	0.026252983293556086
ENSDARG00000001686	2043	0.24105011933174225
ENSDARG00000001710	3796	0.03341288782816229
ENSDARG00000001712	4732	0.03579952267303103
ENSDARG00000001721	3451	0.13126491646778043
ENSDARG00000001729	4060	0.01909307875894988
ENSDARG00000001733	3356	0.028639618138424822
ENSDARG00000001734	2125	0.031026252983293555
ENSDARG00000001754	3189	0.021479713603818614
ENSDARG00000001760	6359	0.06921241050119331
ENSDARG00000001767	3762	0.028639618138424822
ENSDARG00000001769	3733	0.03579952267303103
ENSDARG00000001771	1520	0.4486873508353222
ENSDARG00000001776	4444	0.05250596658711217
ENSDARG00000001777	4400	0.02386634844868735
ENSDARG00000001781	3170	0.031026252983293555
ENSDARG00000001782	2627	0.03579952267303103
ENSDARG00000001785	6850	0.06443914081145585
ENSDARG00000001788	1410	0.01909307875894988
ENSDARG00000001803	4933	0.11694510739856802
ENSDARG00000001804	1818	0.050119331742243436
ENSDARG00000001807	4854	0.01909307875894988
ENSDARG00000001817	663	0.11217183770883055
ENSDARG00000001818	5732	0.07159904534606205
ENSDARG00000001825	5120	0.07875894988066826
ENSDARG00000001829	3299	0.02386634844868735
ENSDARG00000001835	7335	0.026252983293556086
ENSDARG00000001857	3695	0.026252983293556086
ENSDARG00000001859	1401	0.2720763723150358
ENSDARG00000001870	4471	0.03341288782816229
ENSDARG00000001873	2374	0.050119331742243436
ENSDARG00000001879	8269	0.02386634844868735
ENSDARG00000001880	2679	0.045346062052505964
ENSDARG00000001881	2375	0.3436754176610978
ENSDARG00000001882	5122	0.2052505966587112
ENSDARG00000001888	3342	0.01909307875894988
ENSDARG00000001889	1537	0.03818615751789976
ENSDARG00000001890	7122	0.014319809069212411
ENSDARG00000001891	2776	0.15990453460620524
ENSDARG00000001897	3517	0.02386634844868735
ENSDARG00000001898	3390	0.02386634844868735
ENSDARG00000001906	5033	0.059665871121718374
ENSDARG00000001909	2698	0.35083532219570407
ENSDARG00000001910	4487	0.028639618138424822
ENSDARG00000001912	6485	0.03341288782816229
ENSDARG00000001913	7806	0.028639618138424822
ENSDARG00000001929	4010	0.028639618138424822
ENSDARG00000001930	5819	0.01909307875894988
ENSDARG00000001933	2241	0.1575178997613365
ENSDARG00000001937	5631	0.014319809069212411
ENSDARG00000001939	4051	0.031026252983293555
ENSDARG00000001940	2265	0.02386634844868735
ENSDARG00000001950	904	0.10739856801909307
ENSDARG00000001953	3827	0.026252983293556086
ENSDARG00000001968	5682	0.08591885441527446
ENSDARG00000001969	4627	0.021479713603818614
ENSDARG00000001971	1066	0.19809069212410502
ENSDARG00000001975	2592	0.05489260143198091
ENSDARG00000001976	1509	0.15274463007159905
ENSDARG00000001993	6228	0.06921241050119331
ENSDARG00000001994	3629	0.10501193317422435
ENSDARG00000001999	7458	0.03579952267303103
ENSDARG00000002002	1453	0.07159904534606205
ENSDARG00000002006	6470	0.011933174224343675
ENSDARG00000002013	2792	0.03341288782816229
ENSDARG00000002016	1921	0.028639618138424822
ENSDARG00000002020	7816	0.028639618138424822
ENSDARG00000002021	2860	0.03579952267303103
ENSDARG00000002026	1681	0.20047732696897375
ENSDARG00000002031	2198	0.028639618138424822
ENSDARG00000002037	3249	0.081145584725537
ENSDARG00000002060	2807	0.021479713603818614
ENSDARG00000002071	2187	0.07637231503579953
ENSDARG00000002077	1243	0.03341288782816229
ENSDARG00000002082	5264	0.016706443914081145
ENSDARG00000002084	5462	0.12649164677804295
ENSDARG00000002097	1783	0.3198090692124105
ENSDARG00000002127	3717	0.02386634844868735
ENSDARG00000002128	1993	0.028639618138424822
ENSDARG00000002131	3783	0.016706443914081145
ENSDARG00000002165	1173	0.050119331742243436
ENSDARG00000002167	2889	0.09307875894988067
ENSDARG00000002168	2045	0.021479713603818614
ENSDARG00000002172	1708	0.06205250596658711
ENSDARG00000002174	1482	0.031026252983293555
ENSDARG00000002184	2482	0.02386634844868735
ENSDARG00000002190	1986	0.02386634844868735
ENSDARG00000002192	1973	0.26730310262529833
ENSDARG00000002193	1546	0.5202863961813843
ENSDARG00000002194	2073	0.09307875894988067
ENSDARG00000002196	6168	0.014319809069212411
ENSDARG00000002197	2797	0.07398568019093078
ENSDARG00000002204	1042	0.41766109785202865
ENSDARG00000002210	2118	0.06921241050119331
ENSDARG00000002213	3827	0.03341288782816229
ENSDARG00000002215	2731	0.01909307875894988
ENSDARG00000002216	3872	0.057279236276849645
ENSDARG00000002217	3160	0.016706443914081145
ENSDARG00000002219	2069	0.13365155131264916
ENSDARG00000002220	1103	0.03341288782816229
ENSDARG00000002230	4078	0.026252983293556086
ENSDARG00000002231	1185	0.11694510739856802
ENSDARG00000002235	3509	0.04295942720763723
ENSDARG00000002240	1259	0.026252983293556086
ENSDARG00000002241	1482	0.4105011933174224
ENSDARG00000002249	2272	0.09307875894988067
ENSDARG00000002255	3418	0.06443914081145585
ENSDARG00000002259	1675	0.5178997613365155
ENSDARG00000002264	640	0.03341288782816229
ENSDARG00000002267	2495	0.021479713603818614
ENSDARG00000002271	2588	0.016706443914081145
ENSDARG00000002285	5620	0.021479713603818614
ENSDARG00000002293	1549	0.21479713603818615
ENSDARG00000002295	3378	0.43675417661097854
ENSDARG00000002298	1106	0.0477326968973747
ENSDARG00000002299	1971	0.12410501193317422
ENSDARG00000002300	3557	0.01909307875894988
ENSDARG00000002304	853	0.0477326968973747
ENSDARG00000002305	2829	0.031026252983293555
ENSDARG00000002311	636	0.4797136038186158
ENSDARG00000002330	2138	0.2052505966587112
ENSDARG00000002332	4840	0.026252983293556086
ENSDARG00000002333	1473	0.06682577565632458
ENSDARG00000002336	3657	0.0405727923627685
ENSDARG00000002339	1637	0.03341288782816229
ENSDARG00000002344	1833	0.014319809069212411
ENSDARG00000002347	2832	0.18615751789976134
ENSDARG00000002353	3030	0.03579952267303103
ENSDARG00000002355	1505	0.1575178997613365
ENSDARG00000002362	2717	0.028639618138424822
ENSDARG00000002365	2156	0.031026252983293555
ENSDARG00000002369	1650	0.01909307875894988
ENSDARG00000002377	3021	0.026252983293556086
ENSDARG00000002385	9714	0.03579952267303103
ENSDARG00000002391	1076	0.27923627684964203
ENSDARG00000002394	1530	0.5847255369928401
ENSDARG00000002396	2045	0.03818615751789976
ENSDARG00000002401	4558	0.01909307875894988
ENSDARG00000002402	2759	0.021479713603818614
ENSDARG00000002403	1923	0.031026252983293555
ENSDARG00000002405	4143	0.045346062052505964
ENSDARG00000002406	1534	0.28162291169451076
ENSDARG00000002411	3317	0.10501193317422435
ENSDARG00000002445	3694	0.050119331742243436
ENSDARG00000002463	3486	0.06921241050119331
ENSDARG00000002467	1774	0.03818615751789976
ENSDARG00000002479	4697	0.045346062052505964
ENSDARG00000002483	1594	0.2243436754176611
ENSDARG00000002487	3002	0.026252983293556086
ENSDARG00000002494	5168	0.03341288782816229
ENSDARG00000002506	1324	0.028639618138424822
ENSDARG00000002507	8704	0.021479713603818614
ENSDARG00000002508	2257	0.2649164677804296
ENSDARG00000002509	1683	0.0883054892601432
ENSDARG00000002510	1430	0.31742243436754175
ENSDARG00000002523	5682	0.02386634844868735
ENSDARG00000002533	1602	0.23389021479713604
ENSDARG00000002536	2466	0.021479713603818614
ENSDARG00000002538	2223	0.026252983293556086
ENSDARG00000002546	2747	0.10501193317422435
ENSDARG00000002549	4121	0.016706443914081145
ENSDARG00000002552	3310	0.021479713603818614
ENSDARG00000002564	1366	0.14797136038186157
ENSDARG00000002571	1476	0.045346062052505964
ENSDARG00000002576	1554	0.10739856801909307
ENSDARG00000002582	8686	0.02386634844868735
ENSDARG00000002587	5438	0.016706443914081145
ENSDARG00000002589	839	0.16467780429594273
ENSDARG00000002591	1898	0.01909307875894988
ENSDARG00000002593	1745	0.18377088305489261
ENSDARG00000002597	2715	0.162291169451074
ENSDARG00000002600	2516	0.2529832935560859
ENSDARG00000002601	1187	0.17422434367541767
ENSDARG00000002607	4467	0.045346062052505964
ENSDARG00000002609	5711	0.028639618138424822
ENSDARG00000002613	643	0.031026252983293555
ENSDARG00000002632	2919	0.01909307875894988
ENSDARG00000002634	1123	0.11933174224343675
ENSDARG00000002635	3814	0.20047732696897375
ENSDARG00000002642	2318	0.03818615751789976
ENSDARG00000002644	3255	0.03579952267303103
ENSDARG00000002656	7466	0.059665871121718374
ENSDARG00000002659	4918	0.014319809069212411
ENSDARG00000002663	2455	0.03579952267303103
ENSDARG00000002666	1527	0.15035799522673032
ENSDARG00000002670	2864	0.028639618138424822
ENSDARG00000002682	6479	0.03579952267303103
ENSDARG00000002685	2039	0.1026252983293556
ENSDARG00000002690	1316	0.03579952267303103
ENSDARG00000002696	2642	0.21957040572792363
ENSDARG00000002701	4625	0.01909307875894988
ENSDARG00000002707	1166	0.2863961813842482
ENSDARG00000002710	3574	0.014319809069212411
ENSDARG00000002720	1974	0.021479713603818614
ENSDARG00000002722	888	0.7589498806682577
ENSDARG00000002728	1101	0.6897374701670644
ENSDARG00000002731	1375	0.031026252983293555
ENSDARG00000002732	2218	0.15035799522673032
ENSDARG00000002745	2382	0.01909307875894988
ENSDARG00000002748	3378	0.02386634844868735
ENSDARG00000002750	4361	0.05489260143198091
ENSDARG00000002754	1164	0.03818615751789976
ENSDARG00000002758	3983	0.016706443914081145
ENSDARG00000002760	2754	0.10978520286396182
ENSDARG00000002764	1311	0.2386634844868735
ENSDARG00000002768	1181	0.29832935560859186
ENSDARG00000002771	6692	0.0405727923627685
ENSDARG00000002779	1117	0.16945107398568018
ENSDARG00000002787	4159	0.016706443914081145
ENSDARG00000002790	2300	0.014319809069212411
ENSDARG00000002791	4285	0.011933174224343675
ENSDARG00000002792	3038	0.026252983293556086
ENSDARG00000002795	2373	0.07875894988066826
ENSDARG00000002797	1764	0.14558472553699284
ENSDARG00000002798	2210	0.03341288782816229
ENSDARG00000002816	4119	0.29594272076372313
ENSDARG00000002826	1909	0.03818615751789976
ENSDARG00000002830	2466	0.03579952267303103
ENSDARG00000002831	10607	0.016706443914081145
ENSDARG00000002840	5496	0.021479713603818614
ENSDARG00000002847	6152	0.05489260143198091
ENSDARG00000002872	2503	0.03341288782816229
ENSDARG00000002877	6020	0.01909307875894988
ENSDARG00000002880	4161	0.06443914081145585
ENSDARG00000002894	2401	0.026252983293556086
ENSDARG00000002897	3939	0.01909307875894988
ENSDARG00000002909	4575	0.081145584725537
ENSDARG00000002912	3187	0.028639618138424822
ENSDARG00000002916	4867	0.03341288782816229
ENSDARG00000002917	2244	0.3818615751789976
ENSDARG00000002933	2095	0.20047732696897375
ENSDARG00000002937	2937	0.0405727923627685
ENSDARG00000002945	3042	0.09785202863961814
ENSDARG00000002947	2389	0.059665871121718374
ENSDARG00000002949	1773	0.021479713603818614
ENSDARG00000002952	6212	0.02386634844868735
ENSDARG00000002956	5121	0.050119331742243436
ENSDARG00000002959	1353	0.4988066825775656
ENSDARG00000002967	1421	0.026252983293556086
ENSDARG00000002968	2584	0.10023866348448687
ENSDARG00000002970	2085	0.01909307875894988
ENSDARG00000002971	4515	0.026252983293556086
ENSDARG00000002986	1935	0.06205250596658711
ENSDARG00000002988	968	0.20763723150357996
ENSDARG00000002991	4259	0.03818615751789976
ENSDARG00000002994	3331	0.03341288782816229
ENSDARG00000003008	4572	0.0405727923627685
ENSDARG00000003017	1820	0.014319809069212411
ENSDARG00000003020	1935	0.3937947494033413
ENSDARG00000003021	2393	0.031026252983293555
ENSDARG00000003022	2584	0.050119331742243436
ENSDARG00000003027	1682	0.05489260143198091
ENSDARG00000003032	2276	0.016706443914081145
ENSDARG00000003035	4655	0.011933174224343675
ENSDARG00000003041	1239	0.08353221957040573
ENSDARG00000003046	4603	0.09307875894988067
ENSDARG00000003054	3875	0.028639618138424822
ENSDARG00000003058	3083	0.01909307875894988
ENSDARG00000003061	3814	0.016706443914081145
ENSDARG00000003068	5133	0.026252983293556086
ENSDARG00000003069	3905	0.04295942720763723
ENSDARG00000003077	2695	0.06921241050119331
ENSDARG00000003081	6175	0.011933174224343675
ENSDARG00000003084	4034	0.050119331742243436
ENSDARG00000003085	3851	0.02386634844868735
ENSDARG00000003087	2038	0.03579952267303103
ENSDARG00000003090	1209	0.9522673031026253
ENSDARG00000003091	2389	0.10501193317422435
ENSDARG00000003098	7019	0.011933174224343675
ENSDARG00000003109	3813	0.02386634844868735
ENSDARG00000003113	2321	0.07398568019093078
ENSDARG00000003127	5084	0.016706443914081145
ENSDARG00000003142	3060	0.059665871121718374
ENSDARG00000003144	1395	0.04295942720763723
ENSDARG00000003146	2216	0.3317422434367542
ENSDARG00000003151	1116	0.01909307875894988
ENSDARG00000003153	1201	0.01909307875894988
ENSDARG00000003157	3889	0.01909307875894988
ENSDARG00000003165	4077	0.026252983293556086
ENSDARG00000003167	4154	0.021479713603818614
ENSDARG00000003169	9164	0.028639618138424822
ENSDARG00000003175	2622	0.028639618138424822
ENSDARG00000003181	1362	0.3317422434367542
ENSDARG00000003189	3555	0.021479713603818614
ENSDARG00000003193	4406	0.031026252983293555
ENSDARG00000003197	1616	0.11217183770883055
ENSDARG00000003200	3831	0.03818615751789976
ENSDARG00000003203	2183	0.31742243436754175
ENSDARG00000003205	2844	0.026252983293556086
ENSDARG00000003206	1307	0.05250596658711217
ENSDARG00000003207	1471	0.03341288782816229
ENSDARG00000003208	4584	0.016706443914081145
ENSDARG00000003210	1649	0.4224343675417661
ENSDARG00000003213	3537	0.01909307875894988
ENSDARG00000003216	1723	0.07398568019093078
ENSDARG00000003217	9263	0.01909307875894988
ENSDARG00000003219	2119	0.13842482100238662
ENSDARG00000003229	2099	0.3317422434367542
ENSDARG00000003235	2410	0.03341288782816229
ENSDARG00000003244	3271	0.03818615751789976
ENSDARG00000003250	4986	0.07875894988066826
ENSDARG00000003251	2580	0.07159904534606205
ENSDARG00000003257	3200	0.01909307875894988
ENSDARG00000003259	1930	0.36992840095465396
ENSDARG00000003269	6141	0.016706443914081145
ENSDARG00000003270	2267	0.031026252983293555
ENSDARG00000003281	2094	0.03579952267303103
ENSDARG00000003287	2075	0.028639618138424822
ENSDARG00000003290	2177	0.3818615751789976
ENSDARG00000003293	1835	0.11217183770883055
ENSDARG00000003303	990	0.4200477326968974
ENSDARG00000003307	4816	0.01909307875894988
ENSDARG00000003308	1475	0.01909307875894988
ENSDARG00000003311	2570	0.028639618138424822
ENSDARG00000003313	2665	0.11455847255369929
ENSDARG00000003320	3940	0.026252983293556086
ENSDARG00000003326	1849	0.30071599045346065
ENSDARG00000003328	5531	0.028639618138424822
ENSDARG00000003344	3555	0.26014319809069214
ENSDARG00000003373	914	0.031026252983293555
ENSDARG00000003375	2061	0.031026252983293555
ENSDARG00000003380	3456	0.021479713603818614
ENSDARG00000003381	3137	0.1431980906921241
ENSDARG00000003382	1937	0.028639618138424822
ENSDARG00000003383	4936	0.031026252983293555
ENSDARG00000003395	9726	0.10739856801909307
ENSDARG00000003398	5139	0.02386634844868735
ENSDARG00000003399	2238	0.1766109785202864
ENSDARG00000003403	9037	0.0883054892601432
ENSDARG00000003411	1772	0.13126491646778043
ENSDARG00000003414	1112	0.42482100238663484
ENSDARG00000003420	1752	0.15274463007159905
ENSDARG00000003421	3221	0.050119331742243436
ENSDARG00000003429	1836	0.021479713603818614
ENSDARG00000003444	1299	0.081145584725537
ENSDARG00000003446	2412	0.05250596658711217
ENSDARG00000003449	3135	0.057279236276849645
ENSDARG00000003462	1431	0.08353221957040573
ENSDARG00000003469	1967	0.2935560859188544
ENSDARG00000003475	1628	0.2243436754176611
ENSDARG00000003486	4544	0.016706443914081145
ENSDARG00000003487	6116	0.016706443914081145
ENSDARG00000003495	7797	0.011933174224343675
ENSDARG00000003512	6628	0.016706443914081145
ENSDARG00000003517	1314	0.03341288782816229
ENSDARG00000003519	2742	0.02386634844868735
ENSDARG00000003520	7070	0.016706443914081145
ENSDARG00000003523	1356	0.42720763723150357
ENSDARG00000003526	1444	0.01909307875894988
ENSDARG00000003527	2166	0.01909307875894988
ENSDARG00000003531	3381	0.016706443914081145
ENSDARG00000003533	3998	0.3054892601431981
ENSDARG00000003544	2877	0.08591885441527446
ENSDARG00000003553	1614	0.1360381861575179
ENSDARG00000003564	1208	0.026252983293556086
ENSDARG00000003570	2764	0.016706443914081145
ENSDARG00000003573	1028	0.031026252983293555
ENSDARG00000003576	3295	0.10501193317422435
ENSDARG00000003584	2740	0.028639618138424822
ENSDARG00000003592	1293	0.03341288782816229
ENSDARG00000003599	1698	0.014319809069212411
ENSDARG00000003607	3106	0.01909307875894988
ENSDARG00000003615	2687	0.2720763723150358
ENSDARG00000003616	2456	0.026252983293556086
ENSDARG00000003631	3682	0.026252983293556086
ENSDARG00000003632	1435	0.2744630071599045
ENSDARG00000003635	1434	0.09069212410501193
ENSDARG00000003641	1872	0.02386634844868735
ENSDARG00000003642	1293	0.05489260143198091
ENSDARG00000003655	2947	0.03818615751789976
ENSDARG00000003675	3085	0.02386634844868735
ENSDARG00000003680	6062	0.03818615751789976
ENSDARG00000003681	5380	0.016706443914081145
ENSDARG00000003684	6339	0.11455847255369929
ENSDARG00000003693	2126	0.01909307875894988
ENSDARG00000003695	1823	0.011933174224343675
ENSDARG00000003697	2367	0.24105011933174225
ENSDARG00000003699	9286	0.01909307875894988
ENSDARG00000003701	1113	0.20763723150357996
ENSDARG00000003705	3813	0.016706443914081145
ENSDARG00000003706	20050	0.021479713603818614
ENSDARG00000003732	2282	0.18377088305489261
ENSDARG00000003749	1710	0.021479713603818614
ENSDARG00000003750	5174	0.01909307875894988
ENSDARG00000003751	7634	0.01909307875894988
ENSDARG00000003754	3506	0.021479713603818614
ENSDARG00000003757	1861	0.03818615751789976
ENSDARG00000003769	3503	0.021479713603818614
ENSDARG00000003776	5883	0.016706443914081145
ENSDARG00000003779	6215	0.07637231503579953
ENSDARG00000003789	5612	0.02386634844868735
ENSDARG00000003795	975	0.016706443914081145
ENSDARG00000003797	5451	0.08353221957040573
ENSDARG00000003803	1331	0.2863961813842482
ENSDARG00000003808	1806	0.08591885441527446
ENSDARG00000003811	7524	0.021479713603818614
ENSDARG00000003818	3405	0.021479713603818614
ENSDARG00000003820	4079	0.0477326968973747
ENSDARG00000003822	1589	0.06443914081145585
ENSDARG00000003827	2163	0.03341288782816229
ENSDARG00000003829	4104	0.01909307875894988
ENSDARG00000003835	4732	0.016706443914081145
ENSDARG00000003841	1953	0.021479713603818614
ENSDARG00000003845	2559	0.03818615751789976
ENSDARG00000003846	789	0.026252983293556086
ENSDARG00000003854	7443	0.01909307875894988
ENSDARG00000003860	2793	0.014319809069212411
ENSDARG00000003865	1146	0.1575178997613365
ENSDARG00000003866	3232	0.021479713603818614
ENSDARG00000003867	1573	0.1431980906921241
ENSDARG00000003869	1785	0.028639618138424822
ENSDARG00000003872	3844	0.03579952267303103
ENSDARG00000003877	5825	0.03818615751789976
ENSDARG00000003899	1697	0.05250596658711217
ENSDARG00000003900	2597	0.12410501193317422
ENSDARG00000003902	2094	0.18854415274463007
ENSDARG00000003903	1098	0.47255369928400953
ENSDARG00000003904	3482	0.07637231503579953
ENSDARG00000003909	1968	0.14558472553699284
ENSDARG00000003910	8004	0.021479713603818614
ENSDARG00000003920	4930	0.021479713603818614
ENSDARG00000003925	835	0.45584725536992843
ENSDARG00000003927	3544	0.021479713603818614
ENSDARG00000003931	2164	0.03818615751789976
ENSDARG00000003934	962	0.04295942720763723
ENSDARG00000003938	2421	0.02386634844868735
ENSDARG00000003940	3084	0.028639618138424822
ENSDARG00000003941	2129	0.028639618138424822
ENSDARG00000003944	1211	0.7565632458233891
ENSDARG00000003952	3249	0.011933174224343675
ENSDARG00000003961	2456	0.0405727923627685
ENSDARG00000003963	3072	0.03341288782816229
ENSDARG00000003965	2223	0.32935560859188545
ENSDARG00000003968	1773	0.30071599045346065
ENSDARG00000003970	1551	0.44630071599045346
ENSDARG00000003971	1686	0.1909307875894988
ENSDARG00000003973	1381	0.0477326968973747
ENSDARG00000003974	2560	0.031026252983293555
ENSDARG00000003977	3179	0.06205250596658711
ENSDARG00000003984	10673	0.01909307875894988
ENSDARG00000003989	9998	0.02386634844868735
ENSDARG00000003991	2280	0.04295942720763723
ENSDARG00000003994	4089	0.07159904534606205
ENSDARG00000003998	3459	0.19331742243436753
ENSDARG00000004015	1902	0.18138424821002386
ENSDARG00000004017	2843	0.031026252983293555
ENSDARG00000004018	1250	0.10978520286396182
ENSDARG00000004023	2303	0.2315035799522673
ENSDARG00000004034	3355	0.021479713603818614
ENSDARG00000004037	2926	0.03341288782816229
ENSDARG00000004046	2355	0.028639618138424822
ENSDARG00000004049	1776	0.06682577565632458
ENSDARG00000004051	4305	0.05489260143198091
ENSDARG00000004055	6300	0.021479713603818614
ENSDARG00000004059	1973	0.0405727923627685
ENSDARG00000004060	2804	0.15990453460620524
ENSDARG00000004074	5373	0.04295942720763723
ENSDARG00000004078	3852	0.02386634844868735
ENSDARG00000004082	1404	0.6252983293556086
ENSDARG00000004094	4717	0.031026252983293555
ENSDARG00000004105	9153	0.021479713603818614
ENSDARG00000004109	777	0.7183770883054893
ENSDARG00000004111	3663	0.06205250596658711
ENSDARG00000004114	3631	0.059665871121718374
ENSDARG00000004115	3199	0.050119331742243436
ENSDARG00000004130	1775	0.06443914081145585
ENSDARG00000004131	8188	0.059665871121718374
ENSDARG00000004132	6094	0.026252983293556086
ENSDARG00000004141	1485	0.12410501193317422
ENSDARG00000004150	3363	0.2529832935560859
ENSDARG00000004151	1521	0.0477326968973747
ENSDARG00000004154	1299	0.03818615751789976
ENSDARG00000004158	4553	0.10739856801909307
ENSDARG00000004160	1816	0.02386634844868735
ENSDARG00000004161	2114	0.026252983293556086
ENSDARG00000004167	1604	0.028639618138424822
ENSDARG00000004169	4134	0.01909307875894988
ENSDARG00000004171	2325	0.028639618138424822
ENSDARG00000004173	4337	0.016706443914081145
ENSDARG00000004174	8596	0.014319809069212411
ENSDARG00000004176	5259	0.045346062052505964
ENSDARG00000004177	1725	0.09785202863961814
ENSDARG00000004184	8675	0.059665871121718374
ENSDARG00000004187	1612	0.162291169451074
ENSDARG00000004189	2509	0.02386634844868735
ENSDARG00000004196	6425	0.01909307875894988
ENSDARG00000004199	5755	0.016706443914081145
ENSDARG00000004204	2483	0.2171837708830549
ENSDARG00000004211	2168	0.03579952267303103
ENSDARG00000004218	3115	0.028639618138424822
ENSDARG00000004219	1890	0.18377088305489261
ENSDARG00000004227	4092	0.07637231503579953
ENSDARG00000004232	3094	0.11455847255369929
ENSDARG00000004243	2316	0.26968973747016706
ENSDARG00000004246	10246	0.011933174224343675
ENSDARG00000004251	1734	0.028639618138424822
ENSDARG00000004256	2132	0.13365155131264916
ENSDARG00000004260	2406	0.21241050119331742
ENSDARG00000004261	2010	0.026252983293556086
ENSDARG00000004262	1829	0.18377088305489261
ENSDARG00000004270	4852	0.01909307875894988
ENSDARG00000004274	1067	0.045346062052505964
ENSDARG00000004280	3665	0.01909307875894988
ENSDARG00000004282	1552	0.162291169451074
ENSDARG00000004291	4716	0.12649164677804295
ENSDARG00000004296	2559	0.03341288782816229
ENSDARG00000004297	2796	0.026252983293556086
