Gene	gene_length
ENSDARG00000003217	9263
ENSDARG00000003219	2119
ENSDARG00000003229	2099
ENSDARG00000003235	2410
ENSDARG00000003244	3271
ENSDARG00000003250	4986
ENSDARG00000003251	2580
ENSDARG00000003257	3200
ENSDARG00000003259	1930
ENSDARG00000003269	6141
ENSDARG00000003270	2267
ENSDARG00000003281	2094
ENSDARG00000003287	2075
ENSDARG00000003290	2177
ENSDARG00000003293	1835
ENSDARG00000003303	990
ENSDARG00000003307	4816
ENSDARG00000003308	1475
ENSDARG00000003311	2570
ENSDARG00000003313	2665
ENSDARG00000003320	3940
ENSDARG00000003326	1849
ENSDARG00000003328	5531
ENSDARG00000003344	3555
ENSDARG00000003373	914
ENSDARG00000003375	2061
ENSDARG00000003380	3456
ENSDARG00000003381	3137
ENSDARG00000003382	1937
ENSDARG00000003383	4936
ENSDARG00000003395	9726
ENSDARG00000003398	5139
ENSDARG00000003399	2238
ENSDARG00000003403	9037
ENSDARG00000003411	1772
ENSDARG00000003414	1112
ENSDARG00000003420	1752
ENSDARG00000003421	3221
ENSDARG00000003429	1836
ENSDARG00000003444	1299
ENSDARG00000003446	2412
ENSDARG00000003449	3135
ENSDARG00000003462	1431
ENSDARG00000003469	1967
ENSDARG00000003475	1628
ENSDARG00000003486	4544
ENSDARG00000003487	6116
ENSDARG00000003495	7797
ENSDARG00000003512	6628
ENSDARG00000003517	1314
ENSDARG00000003519	2742
ENSDARG00000003520	7070
ENSDARG00000003523	1356
ENSDARG00000003526	1444
ENSDARG00000003527	2166
ENSDARG00000003531	3381
ENSDARG00000003533	3998
ENSDARG00000003544	2877
ENSDARG00000003553	1614
ENSDARG00000003564	1208
ENSDARG00000003570	2764
ENSDARG00000003573	1028
ENSDARG00000003576	3295
ENSDARG00000003584	2740
ENSDARG00000003592	1293
ENSDARG00000003599	1698
ENSDARG00000003607	3106
ENSDARG00000003615	2687
ENSDARG00000003616	2456
ENSDARG00000003631	3682
ENSDARG00000003632	1435
ENSDARG00000003635	1434
ENSDARG00000003641	1872
ENSDARG00000003642	1293
ENSDARG00000003655	2947
ENSDARG00000003675	3085
ENSDARG00000003680	6062
ENSDARG00000003681	5380
ENSDARG00000003684	6339
ENSDARG00000003693	2126
ENSDARG00000003695	1823
ENSDARG00000003697	2367
ENSDARG00000003699	9286
ENSDARG00000003701	1113
ENSDARG00000003705	3813
ENSDARG00000003706	20050
ENSDARG00000003732	2282
ENSDARG00000003749	1710
ENSDARG00000003750	5174
ENSDARG00000003751	7634
ENSDARG00000003754	3506
ENSDARG00000003757	1861
ENSDARG00000003769	3503
ENSDARG00000003776	5883
ENSDARG00000003779	6215
ENSDARG00000003789	5612
ENSDARG00000003795	975
ENSDARG00000003797	5451
ENSDARG00000003803	1331
ENSDARG00000003808	1806
ENSDARG00000003811	7524
ENSDARG00000003818	3405
ENSDARG00000003820	4079
ENSDARG00000003822	1589
ENSDARG00000003827	2163
ENSDARG00000003829	4104
ENSDARG00000003835	4732
ENSDARG00000003841	1953
ENSDARG00000003845	2559
ENSDARG00000003846	789
ENSDARG00000003854	7443
ENSDARG00000003860	2793
ENSDARG00000003865	1146
ENSDARG00000003866	3232
ENSDARG00000003867	1573
ENSDARG00000003869	1785
ENSDARG00000003872	3844
ENSDARG00000003877	5825
ENSDARG00000003899	1697
ENSDARG00000003900	2597
ENSDARG00000003902	2094
ENSDARG00000003903	1098
ENSDARG00000003904	3482
ENSDARG00000003909	1968
ENSDARG00000003910	8004
ENSDARG00000003920	4930
ENSDARG00000003925	835
ENSDARG00000003927	3544
ENSDARG00000003931	2164
ENSDARG00000003934	962
ENSDARG00000003938	2421
ENSDARG00000003940	3084
ENSDARG00000003941	2129
ENSDARG00000003944	1211
ENSDARG00000003952	3249
ENSDARG00000003961	2456
ENSDARG00000003963	3072
ENSDARG00000003965	2223
ENSDARG00000003968	1773
ENSDARG00000003970	1551
ENSDARG00000003971	1686
ENSDARG00000003973	1381
ENSDARG00000003974	2560
ENSDARG00000003977	3179
ENSDARG00000003984	10673
ENSDARG00000003989	9998
ENSDARG00000003991	2280
ENSDARG00000003994	4089
ENSDARG00000003998	3459
ENSDARG00000004015	1902
ENSDARG00000004017	2843
ENSDARG00000004018	1250
ENSDARG00000004023	2303
ENSDARG00000004034	3355
ENSDARG00000004037	2926
ENSDARG00000004046	2355
ENSDARG00000004049	1776
ENSDARG00000004051	4305
ENSDARG00000004055	6300
ENSDARG00000004059	1973
ENSDARG00000004060	2804
ENSDARG00000004074	5373
ENSDARG00000004078	3852
ENSDARG00000004082	1404
ENSDARG00000004094	4717
ENSDARG00000004105	9153
ENSDARG00000004109	777
ENSDARG00000004111	3663
ENSDARG00000004114	3631
ENSDARG00000004115	3199
ENSDARG00000004130	1775
ENSDARG00000004131	8188
ENSDARG00000004132	6094
ENSDARG00000004141	1485
ENSDARG00000004150	3363
ENSDARG00000004151	1521
ENSDARG00000004154	1299
ENSDARG00000004158	4553
ENSDARG00000004160	1816
ENSDARG00000004161	2114
ENSDARG00000004167	1604
ENSDARG00000004169	4134
ENSDARG00000004171	2325
ENSDARG00000004173	4337
ENSDARG00000004174	8596
ENSDARG00000004176	5259
ENSDARG00000004177	1725
ENSDARG00000004184	8675
ENSDARG00000004187	1612
ENSDARG00000004189	2509
ENSDARG00000004196	6425
ENSDARG00000004199	5755
ENSDARG00000004204	2483
ENSDARG00000004211	2168
ENSDARG00000004218	3115
ENSDARG00000004219	1890
ENSDARG00000004227	4092
ENSDARG00000004232	3094
ENSDARG00000004243	2316
ENSDARG00000004246	10246
ENSDARG00000004251	1734
ENSDARG00000004256	2132
ENSDARG00000004260	2406
ENSDARG00000004261	2010
ENSDARG00000004262	1829
ENSDARG00000004270	4852
ENSDARG00000004274	1067
ENSDARG00000004280	3665
ENSDARG00000004282	1552
ENSDARG00000004291	4716
ENSDARG00000004296	2559
ENSDARG00000004297	2796
ENSDARG00000004301	1957
ENSDARG00000004302	3102
ENSDARG00000004305	1672
ENSDARG00000004306	2122
ENSDARG00000004307	1237
ENSDARG00000004308	1782
ENSDARG00000004311	1490
ENSDARG00000004318	1653
ENSDARG00000004322	6103
ENSDARG00000004325	2090
ENSDARG00000004328	1102
ENSDARG00000004336	3102
ENSDARG00000004343	3168
ENSDARG00000004358	1958
ENSDARG00000004363	6115
ENSDARG00000004372	5982
ENSDARG00000004377	4978
ENSDARG00000004378	4404
ENSDARG00000004386	3824
ENSDARG00000004392	1647
ENSDARG00000004396	1810
ENSDARG00000004402	2062
ENSDARG00000004405	2586
ENSDARG00000004406	2579
ENSDARG00000004415	7466
ENSDARG00000004427	630
ENSDARG00000004433	2634
ENSDARG00000004436	1894
ENSDARG00000004445	7623
ENSDARG00000004447	2250
ENSDARG00000004451	1686
ENSDARG00000004452	3244
ENSDARG00000004455	2337
ENSDARG00000004459	1161
ENSDARG00000004460	1764
ENSDARG00000004470	5968
ENSDARG00000004472	2764
ENSDARG00000004473	2280
ENSDARG00000004492	1080
ENSDARG00000004497	1762
ENSDARG00000004498	1396
ENSDARG00000004502	1869
ENSDARG00000004517	2680
ENSDARG00000004525	2859
ENSDARG00000004527	785
ENSDARG00000004529	2616
ENSDARG00000004537	13970
ENSDARG00000004539	2373
ENSDARG00000004561	1964
ENSDARG00000004574	3527
ENSDARG00000004576	3297
ENSDARG00000004577	1165
ENSDARG00000004580	1761
ENSDARG00000004581	4360
ENSDARG00000004586	3114
ENSDARG00000004587	2264
ENSDARG00000004588	3261
ENSDARG00000004592	3156
ENSDARG00000004594	6146
ENSDARG00000004597	4695
ENSDARG00000004598	3124
ENSDARG00000004616	2132
ENSDARG00000004618	2149
ENSDARG00000004621	4527
ENSDARG00000004627	4563
ENSDARG00000004632	2335
ENSDARG00000004633	1694
ENSDARG00000004634	2537
ENSDARG00000004635	7150
ENSDARG00000004636	4278
ENSDARG00000004643	4850
ENSDARG00000004647	2498
ENSDARG00000004648	918
ENSDARG00000004658	2135
ENSDARG00000004672	8799
ENSDARG00000004680	1533
ENSDARG00000004687	1781
ENSDARG00000004692	2323
ENSDARG00000004695	2363
ENSDARG00000004696	2093
ENSDARG00000004697	2729
ENSDARG00000004702	1001
ENSDARG00000004706	1622
ENSDARG00000004712	6172
ENSDARG00000004713	872
ENSDARG00000004714	6495
ENSDARG00000004721	2097
ENSDARG00000004724	2108
ENSDARG00000004726	3843
ENSDARG00000004735	4447
ENSDARG00000004745	2673
ENSDARG00000004748	4748
ENSDARG00000004753	3594
ENSDARG00000004754	3219
ENSDARG00000004757	2192
ENSDARG00000004763	1765
ENSDARG00000004771	2190
ENSDARG00000004774	2917
ENSDARG00000004782	8112
ENSDARG00000004785	2009
ENSDARG00000004789	10386
ENSDARG00000004794	3370
ENSDARG00000004796	6604
ENSDARG00000004806	1646
ENSDARG00000004823	1725
ENSDARG00000004830	2472
ENSDARG00000004836	5521
ENSDARG00000004840	2448
ENSDARG00000004843	6663
ENSDARG00000004851	5192
ENSDARG00000004861	1991
ENSDARG00000004864	1219
ENSDARG00000004866	2628
ENSDARG00000004869	1436
ENSDARG00000004870	3182
ENSDARG00000004871	4221
ENSDARG00000004874	2543
ENSDARG00000004875	2661
ENSDARG00000004877	5319
ENSDARG00000004880	3790
ENSDARG00000004889	1286
ENSDARG00000004891	2212
ENSDARG00000004898	1259
ENSDARG00000004904	2593
ENSDARG00000004906	3145
ENSDARG00000004925	2619
ENSDARG00000004930	7151
ENSDARG00000004931	2960
ENSDARG00000004932	4367
ENSDARG00000004937	2345
ENSDARG00000004939	2226
ENSDARG00000004948	4209
ENSDARG00000004952	1623
ENSDARG00000004953	2291
ENSDARG00000004954	4227
ENSDARG00000004956	1196
ENSDARG00000004964	2381
ENSDARG00000004979	2696
ENSDARG00000004988	3509
ENSDARG00000005002	4529
ENSDARG00000005004	2363
ENSDARG00000005010	808
ENSDARG00000005015	3406
ENSDARG00000005023	2235
ENSDARG00000005026	12103
ENSDARG00000005034	2056
ENSDARG00000005049	1412
ENSDARG00000005050	1771
ENSDARG00000005057	2287
ENSDARG00000005058	5618
ENSDARG00000005078	2937
ENSDARG00000005085	2050
ENSDARG00000005092	3799
ENSDARG00000005095	2660
ENSDARG00000005098	3305
ENSDARG00000005104	3796
ENSDARG00000005108	3018
ENSDARG00000005112	3663
ENSDARG00000005115	3325
ENSDARG00000005122	5931
ENSDARG00000005126	3149
ENSDARG00000005128	1122
ENSDARG00000005134	5914
ENSDARG00000005139	2949
ENSDARG00000005141	5850
ENSDARG00000005150	2126
ENSDARG00000005154	1269
ENSDARG00000005159	2531
ENSDARG00000005162	6957
ENSDARG00000005163	4414
ENSDARG00000005172	807
ENSDARG00000005176	1345
ENSDARG00000005179	4025
ENSDARG00000005185	2250
ENSDARG00000005186	5629
ENSDARG00000005191	1922
ENSDARG00000005210	3836
ENSDARG00000005216	3421
ENSDARG00000005218	2302
ENSDARG00000005220	1278
ENSDARG00000005221	2252
ENSDARG00000005230	1045
ENSDARG00000005232	2367
ENSDARG00000005236	14407
ENSDARG00000005246	1890
ENSDARG00000005251	1834
ENSDARG00000005254	2422
ENSDARG00000005271	1100
ENSDARG00000005274	2434
ENSDARG00000005284	1903
ENSDARG00000005314	1011
ENSDARG00000005315	4055
ENSDARG00000005318	2962
ENSDARG00000005320	1472
ENSDARG00000005327	1847
ENSDARG00000005332	1762
ENSDARG00000005335	2055
ENSDARG00000005343	2875
ENSDARG00000005350	6269
ENSDARG00000005355	2246
ENSDARG00000005356	3493
ENSDARG00000005359	2111
ENSDARG00000005364	4090
ENSDARG00000005368	3597
ENSDARG00000005371	2694
ENSDARG00000005372	2611
ENSDARG00000005374	5910
ENSDARG00000005382	3133
ENSDARG00000005392	2029
ENSDARG00000005394	3186
ENSDARG00000005397	6149
ENSDARG00000005414	1419
ENSDARG00000005416	6737
ENSDARG00000005423	1774
ENSDARG00000005425	1794
ENSDARG00000005448	1655
ENSDARG00000005451	2542
ENSDARG00000005453	3951
ENSDARG00000005454	3337
ENSDARG00000005456	3378
ENSDARG00000005458	3324
ENSDARG00000005462	7976
ENSDARG00000005463	2996
ENSDARG00000005464	1741
ENSDARG00000005468	3178
ENSDARG00000005476	8267
ENSDARG00000005479	15558
ENSDARG00000005481	1553
ENSDARG00000005482	10701
ENSDARG00000005485	1422
ENSDARG00000005500	5969
ENSDARG00000005510	1610
ENSDARG00000005513	6590
ENSDARG00000005518	2201
ENSDARG00000005522	2535
ENSDARG00000005525	3536
ENSDARG00000005526	2290
ENSDARG00000005536	2123
ENSDARG00000005540	5036
ENSDARG00000005541	1883
ENSDARG00000005544	2157
ENSDARG00000005547	2611
ENSDARG00000005549	3256
ENSDARG00000005551	1865
ENSDARG00000005559	2732
ENSDARG00000005560	2482
ENSDARG00000005561	2815
ENSDARG00000005565	6278
ENSDARG00000005574	1720
ENSDARG00000005576	4109
ENSDARG00000005578	1817
ENSDARG00000005586	4184
ENSDARG00000005590	6664
ENSDARG00000005593	1867
ENSDARG00000005595	5313
ENSDARG00000005606	4637
ENSDARG00000005612	2406
ENSDARG00000005616	1779
ENSDARG00000005619	2999
ENSDARG00000005625	2577
ENSDARG00000005626	1554
ENSDARG00000005627	513
ENSDARG00000005629	5723
ENSDARG00000005640	1485
ENSDARG00000005643	1722
ENSDARG00000005645	7082
ENSDARG00000005648	2099
ENSDARG00000005651	3051
ENSDARG00000005652	7969
ENSDARG00000005670	4521
ENSDARG00000005673	1353
ENSDARG00000005675	2903
ENSDARG00000005679	6150
ENSDARG00000005690	6252
ENSDARG00000005699	3355
ENSDARG00000005704	3266
ENSDARG00000005713	1394
ENSDARG00000005716	2652
ENSDARG00000005738	1617
ENSDARG00000005739	2308
ENSDARG00000005749	4872
ENSDARG00000005754	8404
ENSDARG00000005762	8308
ENSDARG00000005772	1132
ENSDARG00000005774	5959
ENSDARG00000005775	6816
ENSDARG00000005776	1578
ENSDARG00000005780	1128
ENSDARG00000005783	4470
ENSDARG00000005786	1924
ENSDARG00000005789	4508
ENSDARG00000005791	2188
ENSDARG00000005799	2287
ENSDARG00000005800	5615
ENSDARG00000005814	1881
ENSDARG00000005821	3407
ENSDARG00000005823	5848
ENSDARG00000005827	1523
ENSDARG00000005828	1744
ENSDARG00000005834	2635
ENSDARG00000005840	1981
ENSDARG00000005841	3676
ENSDARG00000005842	1719
ENSDARG00000005846	2092
ENSDARG00000005853	1238
ENSDARG00000005861	8039
ENSDARG00000005865	1911
ENSDARG00000005867	6756
ENSDARG00000005870	1464
ENSDARG00000005883	3598
ENSDARG00000005891	1907
ENSDARG00000005894	2327
ENSDARG00000005897	1444
ENSDARG00000005908	3968
ENSDARG00000005913	2459
ENSDARG00000005915	3102
ENSDARG00000005916	2557
ENSDARG00000005924	2750
ENSDARG00000005926	1575
ENSDARG00000005927	2438
ENSDARG00000005941	6578
ENSDARG00000005942	2790
ENSDARG00000005943	2299
ENSDARG00000005945	2788
ENSDARG00000005948	2189
ENSDARG00000005972	2937
ENSDARG00000005980	3660
ENSDARG00000005989	4786
ENSDARG00000005993	2391
ENSDARG00000006003	2174
ENSDARG00000006008	2180
ENSDARG00000006010	2655
ENSDARG00000006011	3649
ENSDARG00000006019	3022
ENSDARG00000006025	4934
ENSDARG00000006029	2183
ENSDARG00000006031	6209
ENSDARG00000006038	2814
ENSDARG00000006040	1751
ENSDARG00000006044	2904
ENSDARG00000006052	3148
ENSDARG00000006060	9736
ENSDARG00000006062	6881
ENSDARG00000006065	1918
ENSDARG00000006074	3918
ENSDARG00000006079	1485
ENSDARG00000006092	3111
ENSDARG00000006093	2115
ENSDARG00000006094	7969
ENSDARG00000006109	1009
ENSDARG00000006110	4558
ENSDARG00000006112	6668
ENSDARG00000006120	2616
ENSDARG00000006124	6384
ENSDARG00000006125	3081
ENSDARG00000006128	7933
ENSDARG00000006137	1378
ENSDARG00000006151	3085
ENSDARG00000006169	9170
ENSDARG00000006174	1636
ENSDARG00000006181	2233
ENSDARG00000006192	8585
ENSDARG00000006196	2282
ENSDARG00000006200	10190
ENSDARG00000006202	6761
ENSDARG00000006206	996
ENSDARG00000006207	866
ENSDARG00000006215	5581
ENSDARG00000006219	2169
ENSDARG00000006220	7969
ENSDARG00000006225	1745
ENSDARG00000006235	2311
ENSDARG00000006240	2906
ENSDARG00000006242	2498
ENSDARG00000006251	4266
ENSDARG00000006253	2321
ENSDARG00000006257	4732
ENSDARG00000006260	1709
ENSDARG00000006266	4430
ENSDARG00000006272	3052
ENSDARG00000006279	2669
ENSDARG00000006283	2805
ENSDARG00000006288	3185
ENSDARG00000006290	542
ENSDARG00000006292	5854
ENSDARG00000006299	8448
ENSDARG00000006300	950
ENSDARG00000006301	4950
ENSDARG00000006307	5176
ENSDARG00000006308	2453
ENSDARG00000006314	5012
ENSDARG00000006316	1312
